Food_ID,Food_Name,Packaging_ID,Packaging_Material,Material_Category,Structure_Type,Deterministic_Compatibility_Class,Deterministic_Score,Evidence_Coverage_Ratio,Requirement_Match_Score,Requirement_Dimensions_Scored,Requirement_Candidate_Score,MAP_Request,MAP_Request_Flag,Requirement_Reasons,Eligible,Rank
FRU_002,Banana,PM032,PA/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,36
FRU_002,Banana,PM034,PET/Al/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,37
FRU_002,Banana,PM035,PET/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,38
FRU_002,Banana,PM036,PE/PA/EVOH/PE laminate,Multilayer laminate/structure,Multilayer,Low_Compatibility,0.0,0.6666666666666666,,0,16.6667,,,,True,39
FRU_002,Banana,PM015,EVOH,Polymer film,Single polymer/coating,Insufficient_Evidence,,0.0,,0,,,,Excluded from recommendation pool because deterministic evidence is insufficient,False,40
VEG_015,Beans / Green Beans,PM001,LDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,1
VEG_015,Beans / Green Beans,PM002,LLDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,2
VEG_015,Beans / Green Beans,PM003,MDPE,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,3
VEG_015,Beans / Green Beans,PM007,BOPP,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,4
VEG_015,Beans / Green Beans,PM013,PA6 / Nylon-6,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,5
VEG_015,Beans / Green Beans,PM014,BOPA / Oriented Nylon,Multilayer laminate/structure,Multilayer,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,6
VEG_015,Beans / Green Beans,PM018,PVC plasticized,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,7
VEG_015,Beans / Green Beans,PM019,PS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,8
VEG_015,Beans / Green Beans,PM020,HIPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,9
VEG_015,Beans / Green Beans,PM021,EPS,Polymer film,Single polymer/coating,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,10
VEG_015,Beans / Green Beans,PM022,PLA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,11
VEG_015,Beans / Green Beans,PM023,PHA,Biodegradable polymer,Polymer film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,12
VEG_015,Beans / Green Beans,PM024,Cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,13
VEG_015,Beans / Green Beans,PM025,Coated cellulose film,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,14
VEG_015,Beans / Green Beans,PM026,Kraft paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,15
VEG_015,Beans / Green Beans,PM027,Coated paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,16
VEG_015,Beans / Green Beans,PM028,Glassine paper,Paper/cellulosic,Paper/film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,17
VEG_015,Beans / Green Beans,PM038,Micro-perforated PE film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,18
VEG_015,Beans / Green Beans,PM039,Micro-perforated PP film,Fresh-produce breathable film,Perforated film,Compatible,83.33,0.6666666666666666,,0,86.6667,,,,True,19
